연도,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,
노인인구수,6757000,7066000,7366000,7689000,8152000,8571000,9018000,9500000,10008000,10585000,,,,
0군집,94494.60467,99316.64888,96213.9031,100919.2209,110515.242,116195.5519,122255.4529,128789.8428,135676.7102,143498.9985,,,,
1군집,310120.0471,308965.5688,319147.5326,331511.942,358818.4115,377261.1145,396936.2654,418151.9762,440512.1029,465909.3334,,,,
2군집,197027.7508,196940.8507,201335.0528,209676.047,227508.6876,239202.2769,251677.2994,265129.1133,279306.5438,295409.6489,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
